t,and,err,Uang,Uspd,Uturn,gx,gy,gz
15.356,-0.627,-0.627,-25.894,56.184,0.300,-0.8,2.1,-1.0
15.417,-0.384,-0.384,-15.262,45.983,0.600,0.1,2.4,0.0
15.471,-0.064,-0.064,0.105,35.602,0.000,2.7,2.1,0.0
15.526,0.299,0.299,17.325,26.733,0.000,5.4,1.8,0.0
15.582,0.744,0.744,33.637,18.911,0.000,3.9,1.8,0.0
15.636,1.042,1.042,42.217,11.810,0.600,0.5,1.9,-2.0
15.691,1.172,1.172,44.339,10.187,0.600,-2.6,1.8,-3.0
15.747,1.174,1.174,40.944,10.761,0.900,-6.0,1.9,-5.0
15.802,1.095,1.095,37.964,9.561,1.500,-5.8,2.0,-4.0
15.856,0.976,0.976,34.227,13.937,1.200,-4.8,1.9,-4.0
15.917,0.914,0.914,33.336,15.300,1.200,-3.2,2.8,-4.0
15.972,0.906,0.906,33.402,14.664,0.900,-2.8,2.9,-5.0
16.026,0.947,0.947,38.421,14.279,1.500,0.5,2.5,-3.0
16.081,1.393,1.393,83.664,15.731,1.500,28.0,0.9,-5.0
16.137,2.871,2.871,148.060,20.144,0.600,33.2,-0.2,-5.0
16.196,3.760,3.760,144.672,43.273,0.900,-5.7,2.6,-5.0
16.257,2.619,2.619,61.540,151.947,1.200,-43.2,3.2,-4.0
16.312,0.074,0.074,-54.422,208.369,0.600,-57.4,4.5,-2.0
16.371,-3.445,-3.445,-207.984,251.944,-1.800,-70.2,5.9,6.0
16.437,-6.924,-6.924,-318.812,236.691,-0.300,-41.8,4.3,0.0
16.496,-6.091,-6.091,-182.510,83.526,2.400,61.1,-2.5,2.0
16.557,-1.372,-1.372,18.552,16.776,-4.800,73.4,-1.9,16.0
16.617,1.837,1.837,106.759,21.865,-2.400,33.3,2.3,-1.0
16.676,2.270,2.270,82.228,23.850,-3.300,-8.6,2.0,5.0
16.732,1.459,1.459,28.622,41.931,-1.800,-29.7,3.2,6.0
16.787,0.022,0.022,-30.111,61.427,-3.000,-31.0,3.4,10.0
16.846,-1.361,-1.361,-78.269,75.315,-2.700,-23.8,3.2,9.0
16.907,-2.197,-2.197,-104.011,24.796,-3.300,-16.1,2.6,11.0
16.971,-2.249,-2.249,-93.809,11.616,-3.600,-3.8,0.7,10.0
17.032,-1.930,-1.930,-63.920,-7.619,-1.800,13.3,1.8,6.0
17.091,-0.780,-0.780,-17.790,-31.163,-2.100,13.4,1.4,8.0
17.152,0.213,0.213,19.205,-51.148,-2.400,10.7,1.5,9.0
17.207,0.772,0.772,36.011,-72.157,-2.700,5.1,1.8,9.0
17.261,1.024,1.024,40.323,-73.784,-2.400,-0.6,2.2,8.0
17.321,0.972,0.972,34.699,-73.417,-1.800,-4.2,3.2,8.0
17.377,0.957,0.957,34.939,-68.318,-2.400,-3.4,2.8,6.0
17.436,0.798,0.798,24.948,-64.856,-1.500,-7.0,2.6,5.0
17.491,0.548,0.548,13.071,-59.218,-1.800,-8.9,2.4,7.0
17.552,0.318,0.318,7.697,-55.354,-1.500,-5.0,2.8,6.0
17.606,0.165,0.165,2.526,-48.146,-0.900,-4.1,2.8,3.0
17.661,0.097,0.097,-1.419,-47.832,-0.900,-5.3,2.5,2.0
17.722,0.026,0.026,-3.521,-47.697,-0.900,-4.6,2.7,6.0
17.776,-0.108,-0.108,-8.559,-47.686,-0.900,-4.3,2.9,4.0
17.837,-0.009,-0.009,-4.063,-51.086,-1.500,-3.7,2.1,4.0
17.897,0.016,0.016,-3.054,-55.236,-0.900,-3.7,3.1,4.0
17.951,0.087,0.087,3.605,-58.261,-0.900,0.1,2.6,3.0
18.007,0.126,0.126,7.433,-69.522,-0.900,2.4,2.3,3.0
18.062,0.519,0.519,24.347,-73.667,-0.300,3.6,1.6,2.0
18.116,0.754,0.754,31.837,-76.725,-0.600,1.7,2.1,0.0
18.177,0.927,0.927,36.855,-77.360,-0.900,-0.2,2.4,3.0
18.232,1.064,1.064,40.722,-74.624,-0.300,-1.9,2.4,1.0
18.291,1.025,1.025,36.600,-71.167,-0.300,-4.4,2.4,3.0
18.347,0.847,0.847,26.245,-65.531,-0.300,-7.6,2.5,2.0
18.402,0.536,0.536,11.424,-58.345,-0.600,-10.0,2.6,2.0
18.461,0.137,0.137,-3.026,-48.295,0.000,-8.5,3.4,0.0
18.516,-0.051,-0.051,-7.362,-46.449,-0.600,-5.3,2.4,1.0
18.577,-0.163,-0.163,-10.764,-50.202,-0.600,-4.2,2.6,0.0
18.636,-0.110,-0.110,-3.811,-52.925,-0.900,0.6,2.5,2.0
18.697,0.174,0.174,9.276,-59.914,-0.900,2.3,2.4,1.0
18.751,0.473,0.473,21.640,-64.938,-0.900,2.7,2.9,2.0
18.806,0.580,0.580,23.830,-72.448,-0.600,0.6,2.6,2.0
18.862,0.838,0.838,35.428,-74.120,-0.900,1.9,2.5,1.0
18.921,1.067,1.067,40.985,-72.098,-0.300,-1.7,2.3,2.0
18.976,1.127,1.127,41.568,-69.128,-0.900,-3.5,2.5,2.0
19.037,1.034,1.034,39.053,-62.160,-0.300,-2.3,2.5,2.0
19.092,0.793,0.793,23.493,-54.018,-0.300,-8.2,2.9,1.0
19.146,0.572,0.572,17.373,-43.369,-0.300,-5.5,2.7,1.0
19.207,0.455,0.455,14.472,-30.696,-0.300,-3.7,2.5,1.0
19.262,0.467,0.467,16.579,-27.043,-0.300,-2.1,2.5,1.0
19.321,0.569,0.569,21.852,-24.486,-0.300,-0.9,2.1,1.0
19.377,0.721,0.721,28.666,-21.034,-0.300,-0.2,2.4,1.0
19.436,0.974,0.974,65.968,-20.268,0.000,27.0,0.6,0.0
19.491,3.505,3.505,206.497,-18.070,0.300,66.3,-0.2,10.0
19.552,5.767,5.767,223.954,-1.561,0.900,-6.7,2.8,-5.0
19.607,4.515,4.515,123.741,138.231,1.800,-56.9,3.9,-6.0
19.666,0.418,0.418,-54.669,213.875,1.800,-71.4,6.8,-4.0
19.727,-3.451,-3.451,-220.165,269.365,0.000,-82.1,5.6,4.0
19.786,-7.235,-7.235,-346.325,234.305,0.600,-56.9,6.3,-3.0
19.852,-5.675,-5.675,-140.229,68.842,5.400,86.8,-2.1,10.0
19.911,-1.025,-1.025,15.095,4.254,-1.200,56.1,-0.9,3.0
19.966,1.468,1.468,84.609,11.612,-0.900,25.9,1.5,3.0
20.027,2.074,2.074,70.735,11.860,2.700,-12.2,2.4,-4.0
20.081,0.886,0.886,2.648,28.702,-0.300,-32.8,3.5,1.0
20.136,-0.673,-0.673,-59.896,38.998,-0.900,-33.0,4.1,3.0
20.197,-2.216,-2.216,-113.685,16.444,-2.400,-25.0,2.8,7.0
20.261,-2.530,-2.530,-84.656,-19.353,0.300,16.6,2.9,5.0
20.322,-1.888,-1.888,-61.555,-57.881,-2.100,14.0,-0.4,9.0
20.381,-0.731,-0.731,-8.477,-96.785,-2.100,20.8,1.8,7.0
20.442,0.637,0.637,50.576,-131.049,-2.400,25.1,-0.2,8.0
20.501,1.988,1.988,100.696,-160.452,-2.400,21.2,2.6,6.0
20.556,3.021,3.021,135.639,-196.219,-1.500,14.8,3.6,5.0
20.617,4.039,4.039,178.236,-202.490,-0.300,16.7,1.7,0.0
20.676,4.373,4.373,176.949,-199.001,-1.500,2.0,1.8,5.0
20.737,4.303,4.303,168.334,-188.620,-2.100,-3.8,2.9,7.0
20.797,3.856,3.856,147.162,-175.018,-1.500,-7.1,3.3,6.0
20.856,3.514,3.514,136.045,-142.722,0.300,-4.5,2.2,-1.0
20.912,2.758,2.758,96.303,-126.930,-1.800,-14.0,3.7,6.0
20.971,2.139,2.139,76.736,-111.033,-2.700,-8.8,2.7,1.0
21.031,1.915,1.915,68.203,-100.013,-1.200,-8.4,2.6,4.0
21.092,1.562,1.562,54.995,-87.421,-0.600,-7.5,2.9,1.0
21.146,1.223,1.223,42.820,-75.355,0.000,-6.1,2.8,0.0
21.201,0.984,0.984,31.726,-63.632,-0.600,-7.6,2.8,0.0
21.262,0.822,0.822,29.333,-45.248,-0.300,-3.6,2.4,1.0
21.316,0.873,0.873,34.693,-39.270,-0.300,-0.2,2.5,1.0
21.377,1.121,1.121,47.486,-33.423,0.000,2.7,2.3,1.0
21.432,1.464,1.464,62.404,-30.980,-0.300,3.9,1.8,1.0
21.486,1.890,1.890,80.842,-27.608,-0.300,5.2,1.8,1.0
21.541,2.425,2.425,104.654,-26.898,-0.300,7.6,2.0,1.0
21.597,2.625,2.625,100.257,-26.400,-2.700,-4.7,3.0,10.0
21.657,2.238,2.238,75.695,-10.648,-3.000,-13.8,3.0,10.0
21.716,1.447,1.447,39.137,0.052,-1.200,-18.7,3.5,4.0
21.772,0.669,0.669,8.859,7.651,-0.900,-17.9,3.5,3.0
21.826,0.107,0.107,-8.548,8.091,-0.300,-12.8,3.0,1.0
21.886,-0.237,-0.237,-19.774,-3.162,-0.300,-10.3,2.8,1.0
21.947,-0.749,-0.749,-46.041,-9.389,-0.300,-16.1,2.9,1.0
22.006,-0.823,-0.823,3.856,-27.461,-1.200,36.8,0.2,4.0
22.062,2.021,2.021,153.166,-23.159,-2.400,72.3,-1.6,4.0
22.122,5.119,5.119,224.842,-6.827,0.000,20.1,0.1,-1.0
22.181,4.785,4.785,149.350,47.937,2.400,-42.1,3.5,-8.0
22.237,2.374,2.374,33.649,123.268,1.200,-61.3,7.2,-7.0
22.296,-1.228,-1.228,-117.402,191.654,1.500,-68.3,4.9,-3.0
22.356,-4.936,-4.936,-266.724,254.286,0.300,-69.3,5.8,-1.0
22.421,-7.961,-7.961,-336.136,82.870,1.800,-17.7,5.0,-9.0
22.481,-3.405,-3.405,-57.995,23.713,-0.900,78.2,-2.3,3.0
22.542,1.123,1.123,100.688,-2.955,-3.000,55.8,-1.4,8.0
22.601,3.297,3.297,133.685,11.510,-0.900,1.8,2.0,-13.0
22.662,1.969,1.969,34.232,43.835,-0.300,-44.5,4.7,1.0
22.717,-0.183,-0.183,-50.680,69.684,0.000,-43.4,4.7,-2.0
22.776,-2.594,-2.594,-142.615,38.231,-0.600,-38.8,4.7,7.0
22.837,-3.038,-3.038,-131.952,9.518,1.200,-10.4,2.2,-5.0
22.896,-2.358,-2.358,-81.179,-14.002,-2.100,13.2,1.0,5.0
22.957,-1.388,-1.388,-39.253,-89.172,-1.800,16.3,2.0,6.0
23.021,0.497,0.497,40.390,-125.378,-2.100,20.5,1.8,4.0
23.076,1.710,1.710,83.427,-151.143,-1.800,15.0,0.7,5.0
23.137,2.620,2.620,114.907,-169.598,-1.800,10.1,1.7,4.0
23.196,2.926,2.926,118.510,-181.275,-2.100,1.4,3.5,5.0
23.251,3.163,3.163,128.722,-184.870,-2.100,2.2,2.6,3.0
23.312,3.342,3.342,135.701,-186.829,-1.200,2.0,2.3,5.0
23.371,3.256,3.256,129.451,-183.203,0.000,-0.8,2.4,5.0
23.427,3.204,3.204,126.077,-177.664,-2.100,-2.1,2.4,7.0
23.487,3.423,3.423,137.236,-172.425,-0.600,0.3,2.9,1.0
23.546,3.364,3.364,130.940,-165.721,0.000,-3.6,2.7,2.0
23.602,2.958,2.958,107.517,-156.307,-0.600,-10.8,3.0,3.0
23.666,2.307,2.307,80.419,-136.721,-2.100,-11.9,2.9,8.0
23.721,1.961,1.961,78.785,-128.308,-0.600,0.3,1.9,3.0
23.782,2.206,2.206,90.538,-124.250,-0.600,2.3,2.2,2.0
23.836,2.325,2.325,92.250,-118.265,0.000,-0.7,2.1,0.0
23.897,2.222,2.222,83.226,-109.245,-0.300,-5.7,2.4,-1.0
23.957,1.997,1.997,73.452,-86.513,-0.300,-6.4,2.4,1.0
24.011,1.650,1.650,56.625,-73.987,0.000,-9.4,2.5,0.0
24.067,1.349,1.349,49.283,-61.919,-0.300,-4.7,2.5,1.0
24.127,1.356,1.356,54.558,-53.471,-0.300,0.3,2.3,1.0
24.181,1.612,1.612,68.286,-45.896,-0.300,3.8,2.1,1.0
24.237,2.051,2.051,87.934,-42.243,-0.300,5.9,1.7,1.0
24.292,2.615,2.615,112.027,-38.024,-0.300,7.4,1.6,1.0
24.351,2.983,2.983,105.241,-31.735,0.000,-14.1,2.9,1.0
24.407,2.153,2.153,62.738,0.005,0.000,-23.4,3.1,0.0
24.462,1.128,1.128,21.725,13.468,0.000,-23.4,3.4,0.0
24.521,0.070,0.070,-15.492,21.397,0.600,-18.3,3.5,-2.0
24.577,-0.528,-0.528,-32.698,8.822,0.600,-11.6,2.7,-1.0
24.637,-0.620,-0.620,-28.693,-11.590,0.000,-3.9,2.7,0.0
24.696,-0.638,-0.638,-32.277,-19.291,-0.300,-6.8,2.5,1.0
24.757,-0.857,-0.857,-43.675,-25.650,-0.300,-9.4,2.5,1.0
24.816,-1.293,-1.293,-63.537,-27.483,-0.300,-11.8,3.6,1.0
24.877,-1.393,-1.393,-42.412,-37.076,2.100,13.3,1.1,3.0
24.937,-0.094,-0.094,10.215,-55.485,-0.300,14.0,1.5,0.0
24.996,0.801,0.801,42.551,-70.178,0.000,10.5,2.0,2.0
25.052,1.220,1.220,54.999,-80.618,0.000,6.2,1.9,2.0
25.107,1.562,1.562,64.684,-79.966,0.600,2.2,2.0,-2.0
25.166,1.556,1.556,61.930,-72.872,-0.600,-0.3,2.3,1.0
25.222,1.527,1.527,57.305,-64.630,0.300,-3.8,2.3,1.0
25.277,1.593,1.593,64.681,-55.561,-0.300,1.0,2.4,1.0
25.336,1.924,1.924,81.294,-47.551,-0.300,4.3,1.8,1.0
25.392,2.426,2.426,104.746,-43.594,-0.300,7.7,1.3,1.0
25.447,3.097,3.097,133.726,-39.162,-0.300,9.9,0.8,1.0
25.506,3.435,3.435,125.363,-14.398,2.400,-12.0,2.8,-8.0
25.567,2.234,2.234,59.379,11.372,0.600,-30.0,3.8,-5.0
25.622,0.964,0.964,10.273,34.624,1.800,-28.3,3.9,-5.0
25.676,-0.210,-0.210,-30.964,47.841,0.900,-22.6,3.2,-3.0
25.737,-0.984,-0.984,-56.781,52.347,0.600,-17.4,3.4,-3.0
25.801,-1.453,-1.453,-65.346,25.789,0.000,-7.2,3.0,-1.0
25.857,-1.243,-1.243,-49.777,-15.049,-1.200,-0.1,2.4,4.0
25.917,-1.218,-1.218,-47.067,-28.156,0.000,1.7,1.7,-3.0
25.976,-0.425,-0.425,-10.814,-44.039,-0.900,6.2,1.7,2.0
26.037,0.241,0.241,17.527,-58.590,-1.200,7.9,2.1,4.0
26.092,0.725,0.725,32.608,-68.907,-0.900,3.6,2.4,4.0
26.151,0.940,0.940,37.191,-74.599,-0.900,-0.4,2.1,4.0
26.207,1.112,1.112,45.105,-77.197,-1.200,0.6,2.2,4.0
26.262,1.129,1.129,41.394,-72.416,-0.900,-3.8,2.4,4.0
26.321,1.037,1.037,38.300,-67.467,-0.300,-3.2,2.7,3.0
26.377,0.840,0.840,26.513,-60.727,-0.600,-7.1,2.7,1.0
26.436,0.646,0.646,20.969,-52.709,-0.300,-4.9,2.5,1.0
26.491,0.600,0.600,20.888,-47.096,-0.300,-3.1,2.6,1.0
26.547,0.644,0.644,24.206,-43.167,-0.300,-1.6,2.3,1.0
26.607,0.774,0.774,30.517,-38.492,-0.300,-0.4,1.9,1.0
26.661,0.939,0.939,37.717,-37.144,-0.300,0.2,2.3,1.0
26.722,1.160,1.160,46.832,-34.539,-0.300,0.4,2.2,1.0
26.776,1.380,1.380,56.165,-34.365,-0.300,1.0,2.2,1.0
26.831,1.623,1.623,66.245,-34.244,-0.300,1.3,2.0,1.0
26.887,1.902,1.902,77.576,-34.159,-0.300,1.5,2.1,1.0
26.946,2.240,2.240,92.584,-34.099,-0.300,3.0,2.2,1.0
27.001,2.647,2.647,107.382,-30.733,-0.300,1.5,2.3,0.0
27.057,2.222,2.222,73.979,-9.841,1.800,-14.9,2.2,-6.0
27.117,1.619,1.619,47.417,3.071,1.200,-17.4,3.2,-3.0
27.171,0.931,0.931,21.006,13.916,0.900,-16.2,3.4,-2.0
27.227,0.300,0.300,-1.841,16.677,0.300,-13.8,3.3,0.0
27.287,-0.092,-0.092,-9.372,13.744,0.300,-5.7,2.5,-1.0
27.341,-0.157,-0.157,-13.542,5.127,-0.300,-7.3,2.6,1.0
27.402,-0.485,-0.485,-31.335,-7.517,-0.300,-11.9,2.7,1.0
27.461,-0.980,-0.980,-52.217,-23.083,-0.900,-13.0,2.6,3.0
27.522,-1.613,-1.613,-69.593,-35.610,-0.600,-5.1,3.0,13.0
27.582,-0.387,-0.387,1.247,-59.409,-2.100,16.7,0.4,7.0
27.641,0.695,0.695,44.690,-81.234,-1.800,16.9,1.6,8.0
